Results,EUR/USD Close,EUR/USD High,EUR/USD Low
Average,  1.142,  1.146,  1.138
Minimum,   1.039,   1.042,   1.034
Maximum,   1.251,   1.256,   1.245
Std,   0.049,   0.049,   0.049
# In Calc, 782, 782, 782

Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2016-03-11,1.11529,1.12095,1.10807
2016-03-14,1.1097,1.11757,1.10781
2016-03-15,1.111,1.1125,1.10723
2016-03-16,1.12248,1.12423,1.10581
2016-03-17,1.1316,1.13423,1.12055
2016-03-18,1.12681,1.1337,1.12565
2016-03-21,1.12494,1.1285,1.12347
2016-03-22,1.1219,1.1261,1.11888
2016-03-23,1.1181,1.12233,1.11598
2016-03-24,1.11753,1.11874,1.11443
2016-03-25,1.1162,1.11792,1.11545
2016-03-28,1.11999,1.12198,1.1153
2016-03-29,1.1302,1.1303,1.11691
2016-03-30,1.13369,1.13653,1.1286
2016-03-31,1.13845,1.14116,1.13107
2016-04-01,1.1394,1.14377,1.13347
2016-04-04,1.1396,1.14125,1.13576
2016-04-05,1.1381,1.14051,1.13361
2016-04-06,1.1405,1.14315,1.13268
2016-04-07,1.13724,1.14539,1.13379
2016-04-08,1.13996,1.14192,1.1349
2016-04-11,1.14057,1.14472,1.13725
2016-04-12,1.1393,1.14646,1.13455
2016-04-13,1.12864,1.1391,1.12726
2016-04-14,1.1262,1.12947,1.1234
2016-04-15,1.1285,1.13169,1.12458
2016-04-18,1.13142,1.13322,1.1274
2016-04-19,1.1368,1.13845,1.13038
2016-04-20,1.1298,1.13878,1.12911
2016-04-21,1.1293,1.13972,1.12704
2016-04-22,1.1229,1.13084,1.12185
2016-04-25,1.12626,1.12781,1.12189
2016-04-26,1.12817,1.13396,1.12565
2016-04-27,1.13125,1.13604,1.12721
2016-04-28,1.1352,1.13679,1.1296
2016-04-29,1.14465,1.14591,1.13484
2016-05-02,1.15182,1.15349,1.14486
2016-05-03,1.15055,1.16162,1.15013
2016-05-04,1.1493,1.15293,1.14666
2016-05-05,1.1401,1.1494,1.13862
2016-05-06,1.14018,1.14802,1.13871
2016-05-09,1.13847,1.14196,1.13757
2016-05-10,1.13691,1.14097,1.13586
2016-05-11,1.14234,1.1447,1.13699
2016-05-12,1.1371,1.1429,1.13722
2016-05-13,1.13188,1.13796,1.12832
2016-05-16,1.13195,1.13422,1.13027
2016-05-17,1.1319,1.13482,1.13024
2016-05-18,1.12195,1.13159,1.12196
2016-05-19,1.1202,1.123,1.11803
2016-05-20,1.1214,1.12372,1.11967
2016-05-23,1.12146,1.1243,1.11878
